name,trueCount,totalPredLoc,correctlyPredCount,extraPred,minTranslationError,maxTranslationError,avgTranslationError,medianTransLationError,accuracy,precision
part1_561,99,108,99,9,1,59,26,26,100,91.6666666666667
part1_562,105,121,105,16,3,71,26,24,100,86.7768595041322
part1_563,151,181,151,30,2,102,30,27,100,83.4254143646409
part1_564,168,208,168,40,2,93,30,27,100,80.7692307692308
part1_565,96,111,96,15,1,100,26,25,100,86.4864864864865
part1_566,114,127,112,15,4,71,28,27,98.2456140350877,88.1889763779528
part1_567,134,154,134,20,5,73,29,27,100,87.012987012987
part1_568,99,111,98,13,5,69,27,23,98.989898989899,88.2882882882883
part1_569,99,111,97,14,6,72,25,24,97.979797979798,87.3873873873874
part1_570,92,104,91,13,2,77,26,22,98.9130434782609,87.5
part1_571,86,88,85,3,4,94,27,23,98.8372093023256,96.5909090909091
part1_572,110,117,108,9,2,79,26,23,98.1818181818182,92.3076923076923
part1_573,136,149,132,17,1,81,27,25,97.0588235294118,88.5906040268456
part1_574,115,402,114,288,4,98,34,31,99.1304347826087,28.3582089552239
part1_575,113,121,113,8,3,61,26,23,100,93.3884297520661
part1_576,111,122,110,12,3,85,29,25,99.0990990990991,90.1639344262295
part1_577,117,132,117,15,0,78,27,25,100,88.6363636363636
part1_578,87,105,86,19,1,88,29,27,98.8505747126437,81.9047619047619
part1_579,100,73,70,3,1,59,23,22,70,95.8904109589041
part1_580,88,92,88,4,2,94,29,26,100,95.6521739130435
part1_581,89,126,89,37,2,66,27,24,100,70.6349206349206
part1_582,98,103,95,8,2,65,25,23,96.9387755102041,92.2330097087379
part1_583,99,104,98,6,1,76,25,22,98.989898989899,94.2307692307692
part1_584,105,112,104,8,1,77,27,23,99.0476190476191,92.8571428571429
part1_585,91,97,90,7,2,87,28,25,98.9010989010989,92.7835051546392
part1_586,99,111,99,12,0,81,29,27,100,89.1891891891892
part1_587,92,99,91,8,1,98,25,21,98.9130434782609,91.9191919191919
part1_588,100,112,100,12,3,80,27,26,100,89.2857142857143
part1_589,91,113,91,22,1,77,24,24,100,80.5309734513274
part1_590,108,113,107,6,2,90,24,21,99.0740740740741,94.6902654867257
part1_591,109,111,107,4,5,74,26,23,98.1651376146789,96.3963963963964
part1_592,99,106,98,8,1,105,27,26,98.989898989899,92.4528301886792
part1_593,94,106,94,12,2,75,27,25,100,88.6792452830189
part1_594,104,116,104,12,0,74,28,26,100,89.6551724137931
part1_595,81,93,80,13,4,84,31,30,98.7654320987654,86.0215053763441
part1_596,130,158,130,28,4,78,29,26,100,82.2784810126582
part1_597,106,475,106,369,1,75,39,38,100,22.3157894736842
part1_598,112,142,112,30,3,71,29,27,100,78.8732394366197
part1_599,102,190,102,88,4,67,32,32,100,53.6842105263158
part1_600,129,341,129,212,3,78,34,32,100,37.8299120234604
part2_442,205,240,197,43,1,98,26,23,96.0975609756098,82.0833333333333
part2_443,193,243,185,58,3,82,25,21,95.8549222797927,76.1316872427983
part2_444,179,232,175,57,1,84,25,22,97.7653631284916,75.4310344827586
part2_445,175,232,165,67,2,88,24,21,94.2857142857143,71.1206896551724
part2_446,191,234,189,45,1,84,23,21,98.9528795811518,80.7692307692308
part2_447,178,265,171,94,2,65,26,24,96.0674157303371,64.5283018867924
part2_448,182,236,181,55,1,98,25,21,99.4505494505495,76.6949152542373
part2_449,175,234,171,63,4,94,25,22,97.7142857142857,73.0769230769231
part2_450,194,239,185,54,2,88,27,23,95.3608247422681,77.4058577405858
part2_451,210,242,195,47,4,76,26,23,92.8571428571429,80.5785123966942
part2_452,215,257,200,57,1,108,28,24,93.0232558139535,77.8210116731518
part2_453,199,259,185,74,2,106,26,24,92.964824120603,71.4285714285714
part2_454,189,240,176,64,0,81,27,26,93.1216931216931,73.3333333333333
part2_455,194,236,185,51,2,87,26,22,95.3608247422681,78.3898305084746
part2_456,198,232,193,39,2,80,26,24,97.4747474747475,83.1896551724138
part2_457,187,222,179,43,1,87,22,19,95.7219251336899,80.6306306306306
part2_458,188,281,176,105,2,77,27,24,93.6170212765958,62.6334519572954
part2_459,164,320,158,162,4,86,30,27,96.3414634146341,49.375
part2_460,211,244,203,41,1,91,25,22,96.2085308056872,83.1967213114754
part2_461,201,235,193,42,1,95,27,24,96.0199004975124,82.1276595744681
part2_462,195,224,183,41,1,98,26,23,93.8461538461538,81.6964285714286
part2_463,105,189,101,88,3,100,23,18,96.1904761904762,53.4391534391534
part2_464,205,229,189,40,1,78,26,22,92.1951219512195,82.5327510917031
part2_465,212,240,191,49,2,100,27,23,90.0943396226415,79.5833333333333
part2_466,189,220,179,41,2,96,25,23,94.7089947089947,81.3636363636364
part2_467,225,249,198,51,2,104,30,24,88,79.5180722891566
part2_468,214,241,198,43,2,83,26,25,92.5233644859813,82.1576763485477
part2_469,201,262,190,72,1,95,27,24,94.5273631840796,72.5190839694656
part2_470,198,347,191,156,4,83,31,29,96.4646464646465,55.043227665706
part2_471,188,373,186,187,3,107,33,29,98.936170212766,49.8659517426273
part2_472,189,372,182,190,3,91,33,31,96.2962962962963,48.9247311827957
part2_473,180,271,169,102,3,107,30,27,93.8888888888889,62.3616236162362
part2_474,212,248,196,52,1,91,27,25,92.4528301886792,79.0322580645161
part2_475,230,262,201,61,1,80,28,24,87.3913043478261,76.7175572519084
part2_476,220,259,203,56,1,102,28,25,92.2727272727273,78.3783783783784
part2_477,193,286,183,103,1,79,27,23,94.8186528497409,63.986013986014
part2_478,220,247,194,53,1,96,28,25,88.1818181818182,78.5425101214575
part2_479,207,241,192,49,1,95,26,24,92.7536231884058,79.6680497925311
part2_480,214,255,205,50,3,102,26,23,95.7943925233645,80.3921568627451
part2_481,214,244,202,42,3,105,26,23,94.392523364486,82.7868852459016
