name,trueCount,totalPredLoc,correctlyPredCount,extraPred,minTranslationError,maxTranslationError,avgTranslationError,medianTransLationError,accuracy,precision
part1_561,99,151,99,52,3,75,24,21,100,65.5629139072848
part1_562,105,175,105,70,2,67,23,21,100,60
part1_563,151,229,150,79,2,82,27,24,99.3377483443709,65.5021834061135
part1_564,168,258,168,90,0,71,27,22,100,65.1162790697674
part1_565,96,188,96,92,3,90,28,24,100,51.063829787234
part1_566,114,200,113,87,1,93,26,23,99.1228070175439,56.5
part1_567,134,214,134,80,1,82,26,24,100,62.6168224299065
part1_568,99,155,98,57,1,70,28,26,98.989898989899,63.2258064516129
part1_569,99,127,98,29,1,97,27,24,98.989898989899,77.1653543307087
part1_570,92,133,92,41,3,89,25,23,100,69.1729323308271
part1_571,86,118,86,32,1,92,28,26,100,72.8813559322034
part1_572,110,158,109,49,3,81,27,23,99.0909090909091,68.9873417721519
part1_573,136,174,134,40,2,84,27,23,98.5294117647059,77.0114942528736
part1_574,115,173,114,59,3,85,30,27,99.1304347826087,65.8959537572254
part1_575,113,158,113,45,3,71,26,23,100,71.5189873417722
part1_576,111,163,111,52,5,103,28,23,100,68.0981595092024
part1_577,117,190,117,73,4,80,27,24,100,61.5789473684211
part1_578,87,188,87,101,3,93,29,25,100,46.2765957446808
part1_579,100,93,82,11,5,86,31,27,82,88.1720430107527
part1_580,88,148,88,60,4,68,27,24,100,59.4594594594595
part1_581,89,189,89,100,1,98,27,25,100,47.0899470899471
part1_582,98,165,98,67,2,58,23,22,100,59.3939393939394
part1_583,99,149,99,50,3,70,26,23,100,66.4429530201342
part1_584,105,149,105,44,3,79,27,24,100,70.4697986577181
part1_585,91,139,91,48,1,97,27,23,100,65.4676258992806
part1_586,99,180,99,81,1,97,27,24,100,55
part1_587,92,156,92,64,4,90,25,23,100,58.974358974359
part1_588,100,148,100,48,3,96,25,22,100,67.5675675675676
part1_589,91,151,91,60,4,66,25,23,100,60.2649006622517
part1_590,108,137,107,30,1,103,27,23,99.0740740740741,78.1021897810219
part1_591,109,140,109,31,1,104,27,24,100,77.8571428571429
part1_592,99,141,99,42,1,97,27,23,100,70.2127659574468
part1_593,94,162,94,68,1,67,25,25,100,58.0246913580247
part1_594,104,164,103,61,6,100,28,25,99.0384615384615,62.8048780487805
part1_595,81,167,80,87,2,69,29,28,98.7654320987654,47.9041916167665
part1_596,130,220,130,90,4,92,28,26,100,59.0909090909091
part1_597,106,186,106,80,3,80,27,24,100,56.989247311828
part1_598,112,181,111,70,1,56,26,23,99.1071428571429,61.3259668508287
part1_599,102,174,101,73,1,81,28,24,99.0196078431373,58.0459770114943
part1_600,129,269,129,140,4,83,25,23,100,47.9553903345725
part2_442,205,258,192,66,2,108,25,21,93.6585365853659,74.4186046511628
part2_443,193,261,184,77,3,106,26,21,95.3367875647668,70.4980842911877
part2_444,179,246,176,70,1,97,26,22,98.3240223463687,71.5447154471545
part2_445,175,239,166,73,1,106,25,22,94.8571428571429,69.4560669456067
part2_446,191,238,189,49,0,105,24,20,98.9528795811518,79.4117647058823
part2_447,178,242,172,70,1,96,26,22,96.6292134831461,71.0743801652893
part2_448,182,246,181,65,2,108,21,16,99.4505494505495,73.5772357723577
part2_449,175,242,170,72,2,108,22,19,97.1428571428571,70.2479338842975
part2_450,194,263,186,77,2,92,24,22,95.8762886597938,70.722433460076
part2_451,210,262,196,66,1,92,25,22,93.3333333333333,74.8091603053435
part2_452,215,281,202,79,2,108,24,20,93.953488372093,71.8861209964413
