name,trueCount,totalPredLoc,correctlyPredCount,extraPred,minTranslationError,maxTranslationError,avgTranslationError,medianTransLationError,accuracy,precision
BGal_000469,51,1015,51,964,4,92,28,23,100,5.02463054187192
BGal_000470,45,859,45,814,8,84,28,23,100,5.23864959254948
BGal_000471,45,784,44,740,6,83,29,26,97.7777777777778,5.61224489795918
BGal_000472,35,977,35,942,3,66,22,21,100,3.58239508700102
BGal_000473,46,767,46,721,3,88,26,23,100,5.9973924380704
BGal_000474,53,900,52,848,3,66,25,23,98.1132075471698,5.77777777777778
BGal_000475,46,936,46,890,1,62,27,26,100,4.91452991452991
BGal_000476,25,877,25,852,4,95,24,22,100,2.85062713797035
BGal_000477,33,971,33,938,1,77,31,25,100,3.39855818743563
BGal_000478,49,904,49,855,4,66,26,22,100,5.42035398230088
BGal_000479,28,819,28,791,4,93,29,25,100,3.41880341880342
BGal_000480,29,1101,29,1072,5,66,29,28,100,2.63396911898274
BGal_000481,37,896,37,859,4,88,26,19,100,4.12946428571429
BGal_000482,28,863,28,835,7,100,28,21,100,3.24449594438007
BGal_000483,17,695,17,678,4,63,31,24,100,2.44604316546763
BGal_000484,26,796,26,770,2,40,21,19,100,3.26633165829146
BGal_000485,41,1017,41,976,5,70,27,23,100,4.031465093412
BGal_000486,37,952,37,915,4,75,25,24,100,3.88655462184874
BGal_000487,54,862,54,808,4,58,25,23,100,6.26450116009281
BGal_000488,22,1249,22,1227,6,52,28,22,100,1.76140912730184
BGal_000489,43,1015,43,972,4,65,29,26,100,4.23645320197044
BGal_000490,26,1046,26,1020,4,80,29,28,100,2.48565965583174
BGal_000491,34,1411,34,1377,5,94,26,21,100,2.40963855421687
BGal_000492,33,1060,32,1028,5,84,30,22,96.969696969697,3.0188679245283
BGal_000493,26,837,26,811,9,83,34,27,100,3.1063321385902
BGal_000494,32,1282,32,1250,2,55,25,21,100,2.49609984399376
BGal_000495,57,995,57,938,2,85,29,22,100,5.7286432160804
BGal_000496,54,768,54,714,4,103,26,22,100,7.03125
BGal_000497,60,975,60,915,4,97,27,22,100,6.15384615384615
BGal_000498,29,756,29,727,4,102,36,29,100,3.83597883597884
BGal_000499,58,835,58,777,1,101,29,27,100,6.94610778443114
BGal_000500,51,1279,51,1228,3,59,24,23,100,3.98749022673964
BGal_000501,57,1198,56,1142,4,60,24,24,98.2456140350877,4.67445742904841
BGal_000502,53,1040,53,987,2,79,26,24,100,5.09615384615385
BGal_000503,50,851,50,801,1,53,23,21,100,5.87544065804935
BGal_000504,47,487,45,442,2,103,32,26,95.7446808510638,9.24024640657084
BGal_000505,38,494,37,457,9,89,33,26,97.3684210526316,7.48987854251012
BGal_000506,55,726,55,671,4,90,25,19,100,7.57575757575758
BGal_000507,41,966,41,925,5,89,27,24,100,4.24430641821946
BGal_000508,61,1103,60,1043,3,75,27,25,98.3606557377049,5.43970988213962
