name,trueCount,totalPredLoc,correctlyPredCount,extraPred,minTranslationError,maxTranslationError,avgTranslationError,medianTransLationError,accuracy,precision
BGal_000469,51,547,50,497,4,62,23,19,98.0392156862745,9.14076782449726
BGal_000470,45,457,45,412,6,100,26,23,100,9.84682713347921
BGal_000471,45,409,44,365,1,76,21,17,97.7777777777778,10.7579462102689
BGal_000472,35,535,35,500,6,55,21,17,100,6.54205607476635
BGal_000473,46,407,45,362,2,90,20,19,97.8260869565217,11.0565110565111
BGal_000474,53,499,51,448,3,56,22,18,96.2264150943396,10.2204408817635
BGal_000475,46,506,45,461,6,62,28,24,97.8260869565217,8.89328063241107
BGal_000476,25,474,24,450,4,76,25,21,96,5.06329113924051
BGal_000477,33,496,31,465,4,56,28,29,93.9393939393939,6.25
BGal_000478,49,426,49,377,1,68,23,20,100,11.5023474178404
BGal_000479,28,423,25,398,7,86,32,26,89.2857142857143,5.91016548463357
BGal_000480,29,518,29,489,8,92,26,22,100,5.5984555984556
BGal_000481,37,435,36,399,2,87,22,20,97.2972972972973,8.27586206896552
BGal_000482,28,442,27,415,4,53,23,23,96.4285714285714,6.10859728506787
BGal_000483,17,361,16,345,3,56,25,20,94.1176470588235,4.43213296398892
BGal_000484,26,410,24,386,3,88,23,17,92.3076923076923,5.85365853658537
BGal_000485,41,509,41,468,7,52,22,21,100,8.05500982318271
BGal_000486,37,479,34,445,5,50,24,22,91.8918918918919,7.09812108559499
BGal_000487,54,441,52,389,2,76,26,24,96.2962962962963,11.7913832199546
BGal_000488,22,630,22,608,8,61,27,22,100,3.49206349206349
BGal_000489,43,518,43,475,1,69,26,22,100,8.3011583011583
BGal_000490,26,518,24,494,4,98,29,19,92.3076923076923,4.63320463320463
BGal_000491,34,684,34,650,2,94,27,21,100,4.97076023391813
BGal_000492,33,529,32,497,5,95,30,22,96.969696969697,6.04914933837429
BGal_000493,26,401,24,377,2,95,30,24,92.3076923076923,5.98503740648379
BGal_000494,32,559,32,527,8,92,26,21,100,5.72450805008945
BGal_000495,57,416,52,364,1,104,26,19,91.2280701754386,12.5
BGal_000496,54,314,48,266,2,89,24,20,88.8888888888889,15.2866242038217
BGal_000497,60,400,58,342,3,84,24,20,96.6666666666667,14.5
BGal_000498,29,318,27,291,5,84,32,29,93.1034482758621,8.49056603773585
BGal_000499,58,340,53,287,0,84,24,18,91.3793103448276,15.5882352941176
BGal_000500,51,534,51,483,1,77,22,18,100,9.55056179775281
BGal_000501,57,475,56,419,4,63,21,16,98.2456140350877,11.7894736842105
BGal_000502,53,427,53,374,3,65,26,20,100,12.4121779859485
BGal_000503,50,341,43,298,1,73,21,18,86,12.6099706744868
BGal_000504,47,166,33,133,1,45,21,22,70.2127659574468,19.8795180722892
BGal_000505,38,175,26,149,3,79,26,25,68.4210526315789,14.8571428571429
BGal_000506,55,270,46,224,2,78,21,18,83.6363636363636,17.037037037037
BGal_000507,41,403,38,365,2,83,21,18,92.6829268292683,9.42928039702233
BGal_000508,61,436,60,376,2,105,25,23,98.3606557377049,13.7614678899083
