name,trueCount,totalPredLoc,correctlyPredCount,extraPred,minTranslationError,maxTranslationError,avgTranslationError,medianTransLationError,accuracy,precision
14sep05c_c_00006gr_00030sq_00005hl_00003es_c,269,983,247,736,1,105,45,52,91.82156133829,33.5597826086957
14sep05c_c_00006gr_00030sq_00006hl_00002es_c,275,1088,271,817,1,107,47,55,98.5454545454545,33.1701346389229
14sep05c_c_00006gr_00030sq_00006hl_00004es_c,285,980,270,710,1,104,45,53,94.7368421052632,38.0281690140845
14sep05c_c_00006gr_00030sq_00008hl_00002es_c,291,1174,279,895,1,104,47,55,95.8762886597938,31.1731843575419
14sep05c_c_00007gr_00013sq_00002hl_00005es_c,209,844,193,651,1,100,42,45,92.3444976076555,29.6466973886329
14sep05c_c_00007gr_00013sq_00003hl_00004es_c,187,758,165,593,1,108,42,46,88.2352941176471,27.8246205733558
14sep05c_c_00007gr_00013sq_00004hl_00002es_c,280,978,267,711,1,104,43,50,95.3571428571429,37.5527426160338
14sep05c_c_00007gr_00013sq_00004hl_00003es_c,259,970,242,728,2,106,44,51,93.4362934362934,33.2417582417582
14sep05c_c_00007gr_00013sq_00004hl_00004es_c,301,942,274,668,2,108,42,48,91.0299003322259,41.0179640718563
14sep05c_c_00007gr_00013sq_00005hl_00002es_c,253,1028,239,789,2,105,40,40,94.4664031620553,30.2915082382763
14sep05c_c_00007gr_00013sq_00005hl_00003es_c,247,928,225,703,1,105,38,33,91.0931174089069,32.0056899004267
14sep05c_c_00007gr_00013sq_00005hl_00005es_c,262,1059,247,812,1,107,43,50,94.2748091603053,30.4187192118227
14sep05c_c_00007gr_00013sq_00006hl_00002es_c,263,878,235,643,0,106,44,48,89.3536121673004,36.547433903577
14sep05c_c_00007gr_00013sq_00006hl_00003es_c,228,1030,226,804,0,98,40,46,99.1228070175439,28.1094527363184
14sep05c_c_00007gr_00013sq_00007hl_00004es_c,245,911,233,678,0,104,45,52,95.1020408163265,34.3657817109145
14sep05c_c_00007gr_00013sq_00008hl_00003es_c,281,922,250,672,0,104,44,50,88.9679715302491,37.202380952381
14sep05c_c_00007gr_00013sq_00008hl_00004es_c,232,1013,220,793,1,107,41,45,94.8275862068966,27.7427490542245
14sep05c_c_00007gr_00013sq_00008hl_00005es_c,258,1101,254,847,2,107,43,52,98.4496124031008,29.9881936245573
14sep05c_c_00007gr_00013sq_00009hl_00002es_c,270,1103,262,841,1,106,45,51,97.037037037037,31.15338882283
14sep05c_c_00007gr_00013sq_00009hl_00003es_c,267,955,249,706,1,102,41,42,93.2584269662921,35.2691218130312
14sep05c_c_00007gr_00013sq_00009hl_00004es_c,270,915,239,676,0,106,44,50,88.5185185185185,35.3550295857988
14sep05c_c_00007gr_00013sq_00010hl_00002es_c,257,1086,247,839,4,102,44,51,96.1089494163424,29.4398092967819
14sep05c_c_00007gr_00013sq_00010hl_00003es_c,242,1020,232,788,0,108,41,44,95.8677685950413,29.4416243654822
14sep05c_c_00007gr_00013sq_00010hl_00004es_c,222,1091,214,877,1,99,40,41,96.3963963963964,24.4013683010262
14sep05c_c_00007gr_00013sq_00011hl_00002es_c,234,846,201,645,1,103,42,47,85.8974358974359,31.1627906976744
14sep05c_c_00007gr_00013sq_00014hl_00002es_c,230,756,196,560,2,107,42,45,85.2173913043478,35
14sep05c_c_00007gr_00013sq_00014hl_00005es_c,207,912,196,716,1,105,43,46,94.6859903381642,27.3743016759777
14sep05c_c_00007gr_00013sq_00015hl_00002es_c,255,963,241,722,1,106,42,50,94.5098039215686,33.3795013850416
14sep05c_c_00007gr_00013sq_00015hl_00003es_c,244,1030,227,803,1,106,41,46,93.0327868852459,28.2689912826899
14sep05c_c_00007gr_00013sq_00017hl_00004es_c,193,820,175,645,3,102,42,45,90.6735751295337,27.1317829457364
14sep05c_c_00007gr_00013sq_00019hl_00002es_c,164,1010,157,853,1,100,36,30,95.7317073170732,18.4056271981243
14sep05c_c_00007gr_00013sq_00019hl_00005es_c,258,1009,252,757,1,107,43,50,97.6744186046512,33.2892998678996
14sep05c_c_00007gr_00013sq_00021hl_00004es_c,278,1002,276,726,0,108,43,51,99.2805755395683,38.0165289256198
14sep05c_c_00007gr_00013sq_00022hl_00004es_c,179,732,166,566,1,102,37,29,92.7374301675978,29.3286219081272
14sep05c_c_00007gr_00013sq_00026hl_00004es_c,204,804,196,608,3,103,40,39,96.078431372549,32.2368421052632
14sep05c_c_00007gr_00021sq_00007hl_00003es_c,296,970,280,690,1,107,42,48,94.5945945945946,40.5797101449275
14sep05c_c_00007gr_00021sq_00012hl_00002es_c,279,1054,259,795,1,105,42,49,92.831541218638,32.5786163522013
14sep05c_c_00007gr_00021sq_00012hl_00004es_c,277,1009,263,746,2,107,44,51,94.9458483754513,35.254691689008
14sep05c_c_00007gr_00021sq_00016hl_00003es_c,224,900,206,694,1,100,40,39,91.9642857142857,29.6829971181556
14sep05c_c_00007gr_00021sq_00017hl_00002es_c,234,1049,225,824,1,107,42,44,96.1538461538462,27.3058252427184
