detSpacingX=0.5;detSpacingY=0.5;
det_row_count= ceil(sqrt(sum(dim.^2)))+50; 
det_col_count=ceil(sqrt(sum(dim.^2)))+50;
img_no 	 max_int_value 	 angleY 	 angleZ 
1 	 1.665414 	 0.000000 	 0.000000
2 	 1.648587 	 0.628319 	 0.000000
3 	 1.644394 	 1.256637 	 0.000000
4 	 1.659419 	 1.884956 	 0.000000
5 	 1.656742 	 2.513274 	 0.000000
6 	 1.665414 	 3.141593 	 0.000000
7 	 1.648587 	 3.769911 	 0.000000
8 	 1.644394 	 4.398230 	 0.000000
9 	 1.659419 	 5.026548 	 0.000000
10 	 1.656742 	 5.654867 	 0.000000
11 	 1.774343 	 0.000000 	 0.314159
12 	 1.754098 	 0.628319 	 0.314159
13 	 1.299300 	 1.256637 	 0.314159
14 	 1.349858 	 1.884956 	 0.314159
15 	 1.411272 	 2.513274 	 0.314159
16 	 1.491531 	 3.141593 	 0.314159
17 	 1.410581 	 3.769911 	 0.314159
18 	 1.548264 	 4.398230 	 0.314159
19 	 1.505574 	 5.026548 	 0.314159
20 	 1.665439 	 5.654867 	 0.314159
21 	 1.639135 	 0.000000 	 0.628319
22 	 1.513483 	 0.628319 	 0.628319
23 	 1.484228 	 1.256637 	 0.628319
24 	 1.464374 	 1.884956 	 0.628319
25 	 1.971227 	 2.513274 	 0.628319
26 	 1.316971 	 3.141593 	 0.628319
27 	 1.466952 	 3.769911 	 0.628319
28 	 1.313857 	 4.398230 	 0.628319
29 	 1.127016 	 5.026548 	 0.628319
30 	 1.352338 	 5.654867 	 0.628319
31 	 1.252084 	 0.000000 	 0.942478
32 	 1.699239 	 0.628319 	 0.942478
33 	 1.681074 	 1.256637 	 0.942478
34 	 2.264075 	 1.884956 	 0.942478
35 	 1.731373 	 2.513274 	 0.942478
36 	 1.399739 	 3.141593 	 0.942478
37 	 1.403461 	 3.769911 	 0.942478
38 	 1.484207 	 4.398230 	 0.942478
39 	 1.005563 	 5.026548 	 0.942478
40 	 1.207795 	 5.654867 	 0.942478
41 	 1.252087 	 0.000000 	 1.256637
42 	 1.837104 	 0.628319 	 1.256637
43 	 1.533473 	 1.256637 	 1.256637
44 	 1.520154 	 1.884956 	 1.256637
45 	 1.799862 	 2.513274 	 1.256637
46 	 1.511181 	 3.141593 	 1.256637
47 	 1.818072 	 3.769911 	 1.256637
48 	 1.319945 	 4.398230 	 1.256637
49 	 0.925798 	 5.026548 	 1.256637
50 	 1.606746 	 5.654867 	 1.256637
51 	 1.497348 	 0.000000 	 1.570796
52 	 2.434253 	 0.628319 	 1.570796
53 	 1.767365 	 1.256637 	 1.570796
54 	 1.277960 	 1.884956 	 1.570796
55 	 1.242825 	 2.513274 	 1.570796
56 	 1.497348 	 3.141593 	 1.570796
57 	 2.434253 	 3.769911 	 1.570796
58 	 1.767365 	 4.398230 	 1.570796
59 	 1.277960 	 5.026548 	 1.570796
60 	 1.242825 	 5.654867 	 1.570796
61 	 1.511181 	 0.000000 	 1.884956
62 	 1.818072 	 0.628319 	 1.884956
63 	 1.319945 	 1.256637 	 1.884956
64 	 0.925798 	 1.884956 	 1.884956
65 	 1.606746 	 2.513274 	 1.884956
66 	 1.252087 	 3.141593 	 1.884956
67 	 1.837104 	 3.769911 	 1.884956
68 	 1.533473 	 4.398230 	 1.884956
69 	 1.520154 	 5.026548 	 1.884956
70 	 1.799862 	 5.654867 	 1.884956
71 	 1.399739 	 0.000000 	 2.199115
72 	 1.403461 	 0.628319 	 2.199115
73 	 1.484207 	 1.256637 	 2.199115
74 	 1.005563 	 1.884956 	 2.199115
75 	 1.207795 	 2.513274 	 2.199115
76 	 1.252084 	 3.141593 	 2.199115
77 	 1.699239 	 3.769911 	 2.199115
78 	 1.681074 	 4.398230 	 2.199115
79 	 2.264075 	 5.026548 	 2.199115
80 	 1.731373 	 5.654867 	 2.199115
81 	 1.316971 	 0.000000 	 2.513274
82 	 1.466952 	 0.628319 	 2.513274
83 	 1.313857 	 1.256637 	 2.513274
84 	 1.127016 	 1.884956 	 2.513274
85 	 1.352338 	 2.513274 	 2.513274
86 	 1.639135 	 3.141593 	 2.513274
87 	 1.513489 	 3.769911 	 2.513274
88 	 1.484228 	 4.398230 	 2.513274
89 	 1.464374 	 5.026548 	 2.513274
90 	 1.971227 	 5.654867 	 2.513274
91 	 1.491531 	 0.000000 	 2.827433
92 	 1.410566 	 0.628319 	 2.827433
93 	 1.548264 	 1.256637 	 2.827433
94 	 1.505574 	 1.884956 	 2.827433
95 	 1.665439 	 2.513274 	 2.827433
96 	 1.774343 	 3.141593 	 2.827433
97 	 1.754098 	 3.769911 	 2.827433
98 	 1.299300 	 4.398230 	 2.827433
99 	 1.349858 	 5.026548 	 2.827433
100 	 1.411272 	 5.654867 	 2.827433
