img_no 	 max_int_value 	 angle 	 angle axis 
1 	 0.847435 	 0.000000 	 Z
2 	 0.744630 	 0.062832 	 Z
3 	 0.691220 	 0.125664 	 Z
4 	 0.686222 	 0.188496 	 Z
5 	 0.647546 	 0.251327 	 Z
6 	 0.616010 	 0.314159 	 Z
7 	 0.591065 	 0.376991 	 Z
8 	 0.580538 	 0.439823 	 Z
9 	 0.563861 	 0.502655 	 Z
10 	 0.547557 	 0.565487 	 Z
11 	 0.504994 	 0.628319 	 Z
12 	 0.466486 	 0.691150 	 Z
13 	 0.455279 	 0.753982 	 Z
14 	 0.463131 	 0.816814 	 Z
15 	 0.482284 	 0.879646 	 Z
16 	 0.492669 	 0.942478 	 Z
17 	 0.468168 	 1.005310 	 Z
18 	 0.450640 	 1.068142 	 Z
19 	 0.460373 	 1.130973 	 Z
20 	 0.456562 	 1.193805 	 Z
21 	 0.454206 	 1.256637 	 Z
22 	 0.442621 	 1.319469 	 Z
23 	 0.432119 	 1.382301 	 Z
24 	 0.427441 	 1.445133 	 Z
25 	 0.418379 	 1.507964 	 Z
26 	 0.413700 	 1.570796 	 Z
27 	 0.423999 	 1.633628 	 Z
28 	 0.463593 	 1.696460 	 Z
29 	 0.510941 	 1.759292 	 Z
30 	 0.563316 	 1.822124 	 Z
31 	 0.631327 	 1.884956 	 Z
32 	 0.684172 	 1.947787 	 Z
33 	 0.749263 	 2.010619 	 Z
34 	 0.794163 	 2.073451 	 Z
35 	 0.822214 	 2.136283 	 Z
36 	 0.829315 	 2.199115 	 Z
37 	 0.836750 	 2.261947 	 Z
38 	 0.840062 	 2.324779 	 Z
39 	 0.840724 	 2.387610 	 Z
40 	 0.808687 	 2.450442 	 Z
41 	 0.764356 	 2.513274 	 Z
42 	 0.731672 	 2.576106 	 Z
43 	 0.787278 	 2.638938 	 Z
44 	 0.914638 	 2.701770 	 Z
45 	 1.043733 	 2.764602 	 Z
46 	 1.113545 	 2.827433 	 Z
47 	 1.150787 	 2.890265 	 Z
48 	 1.150190 	 2.953097 	 Z
49 	 1.089178 	 3.015929 	 Z
50 	 0.976521 	 3.078761 	 Z
51 	 0.847435 	 3.141593 	 Z
52 	 0.744630 	 3.204425 	 Z
53 	 0.691220 	 3.267256 	 Z
54 	 0.686222 	 3.330088 	 Z
55 	 0.647546 	 3.392920 	 Z
56 	 0.616010 	 3.455752 	 Z
57 	 0.591065 	 3.518584 	 Z
58 	 0.580538 	 3.581416 	 Z
59 	 0.563861 	 3.644247 	 Z
60 	 0.547559 	 3.707079 	 Z
61 	 0.504994 	 3.769911 	 Z
62 	 0.466486 	 3.832743 	 Z
63 	 0.455279 	 3.895575 	 Z
64 	 0.463131 	 3.958407 	 Z
65 	 0.482284 	 4.021239 	 Z
66 	 0.492669 	 4.084070 	 Z
67 	 0.468168 	 4.146902 	 Z
68 	 0.450640 	 4.209734 	 Z
69 	 0.460373 	 4.272566 	 Z
70 	 0.456562 	 4.335398 	 Z
71 	 0.454206 	 4.398230 	 Z
72 	 0.442621 	 4.461062 	 Z
73 	 0.432119 	 4.523893 	 Z
74 	 0.427441 	 4.586725 	 Z
75 	 0.418379 	 4.649557 	 Z
76 	 0.413700 	 4.712389 	 Z
77 	 0.423999 	 4.775221 	 Z
78 	 0.463593 	 4.838053 	 Z
79 	 0.510941 	 4.900885 	 Z
80 	 0.563316 	 4.963716 	 Z
81 	 0.631327 	 5.026548 	 Z
82 	 0.684172 	 5.089380 	 Z
83 	 0.749263 	 5.152212 	 Z
84 	 0.794163 	 5.215044 	 Z
85 	 0.822214 	 5.277876 	 Z
86 	 0.829315 	 5.340708 	 Z
87 	 0.836750 	 5.403539 	 Z
88 	 0.840062 	 5.466371 	 Z
89 	 0.840724 	 5.529203 	 Z
90 	 0.808687 	 5.592035 	 Z
91 	 0.764356 	 5.654867 	 Z
92 	 0.731672 	 5.717699 	 Z
93 	 0.787278 	 5.780530 	 Z
94 	 0.914638 	 5.843362 	 Z
95 	 1.043733 	 5.906194 	 Z
96 	 1.113545 	 5.969026 	 Z
97 	 1.150787 	 6.031858 	 Z
98 	 1.150190 	 6.094690 	 Z
99 	 1.089178 	 6.157522 	 Z
100 	 0.976521 	 6.220353 	 Z
