img_no 	 max_int_value 	 angleY 	 angleZ 
1 	 0.847435 	 0.000000 	 0.000000
2 	 0.845684 	 0.628319 	 0.000000
3 	 0.847908 	 1.256637 	 0.000000
4 	 0.849079 	 1.884956 	 0.000000
5 	 0.850090 	 2.513274 	 0.000000
6 	 0.847435 	 3.141593 	 0.000000
7 	 0.845684 	 3.769911 	 0.000000
8 	 0.847908 	 4.398230 	 0.000000
9 	 0.849079 	 5.026548 	 0.000000
10 	 0.850090 	 5.654867 	 0.000000
11 	 0.616010 	 0.000000 	 0.314159
12 	 0.733086 	 0.628319 	 0.314159
13 	 0.638793 	 1.256637 	 0.314159
14 	 0.722575 	 1.884956 	 0.314159
15 	 1.037605 	 2.513274 	 0.314159
16 	 1.113545 	 3.141593 	 0.314159
17 	 0.932043 	 3.769911 	 0.314159
18 	 0.696358 	 4.398230 	 0.314159
19 	 0.701338 	 5.026548 	 0.314159
20 	 0.547751 	 5.654867 	 0.314159
21 	 0.504994 	 0.000000 	 0.628319
22 	 0.578046 	 0.628319 	 0.628319
23 	 0.664304 	 1.256637 	 0.628319
24 	 0.690940 	 1.884956 	 0.628319
25 	 0.590498 	 2.513274 	 0.628319
26 	 0.764356 	 3.141593 	 0.628319
27 	 0.553921 	 3.769911 	 0.628319
28 	 0.578303 	 4.398230 	 0.628319
29 	 0.619642 	 5.026548 	 0.628319
30 	 0.486691 	 5.654867 	 0.628319
31 	 0.492669 	 0.000000 	 0.942478
32 	 0.570360 	 0.628319 	 0.942478
33 	 0.739788 	 1.256637 	 0.942478
34 	 0.609015 	 1.884956 	 0.942478
35 	 0.636344 	 2.513274 	 0.942478
36 	 0.829315 	 3.141593 	 0.942478
37 	 0.546178 	 3.769911 	 0.942478
38 	 0.541111 	 4.398230 	 0.942478
39 	 0.602774 	 5.026548 	 0.942478
40 	 0.501197 	 5.654867 	 0.942478
41 	 0.454206 	 0.000000 	 1.256637
42 	 0.522792 	 0.628319 	 1.256637
43 	 0.616255 	 1.256637 	 1.256637
44 	 0.594559 	 1.884956 	 1.256637
45 	 0.459793 	 2.513274 	 1.256637
46 	 0.631327 	 3.141593 	 1.256637
47 	 0.473560 	 3.769911 	 1.256637
48 	 0.525014 	 4.398230 	 1.256637
49 	 0.508799 	 5.026548 	 1.256637
50 	 0.449853 	 5.654867 	 1.256637
51 	 0.413700 	 0.000000 	 1.570796
52 	 0.436505 	 0.628319 	 1.570796
53 	 0.462298 	 1.256637 	 1.570796
54 	 0.505847 	 1.884956 	 1.570796
55 	 0.447453 	 2.513274 	 1.570796
56 	 0.413700 	 3.141593 	 1.570796
57 	 0.436505 	 3.769911 	 1.570796
58 	 0.462298 	 4.398230 	 1.570796
59 	 0.505847 	 5.026548 	 1.570796
60 	 0.447453 	 5.654867 	 1.570796
61 	 0.631327 	 0.000000 	 1.884956
62 	 0.473560 	 0.628319 	 1.884956
63 	 0.525014 	 1.256637 	 1.884956
64 	 0.508799 	 1.884956 	 1.884956
65 	 0.449853 	 2.513274 	 1.884956
66 	 0.454206 	 3.141593 	 1.884956
67 	 0.522792 	 3.769911 	 1.884956
68 	 0.616255 	 4.398230 	 1.884956
69 	 0.594559 	 5.026548 	 1.884956
70 	 0.459793 	 5.654867 	 1.884956
71 	 0.829315 	 0.000000 	 2.199115
72 	 0.546178 	 0.628319 	 2.199115
73 	 0.541111 	 1.256637 	 2.199115
74 	 0.602774 	 1.884956 	 2.199115
75 	 0.501197 	 2.513274 	 2.199115
76 	 0.492669 	 3.141593 	 2.199115
77 	 0.570360 	 3.769911 	 2.199115
78 	 0.739788 	 4.398230 	 2.199115
79 	 0.609015 	 5.026548 	 2.199115
80 	 0.636344 	 5.654867 	 2.199115
81 	 0.764356 	 0.000000 	 2.513274
82 	 0.553921 	 0.628319 	 2.513274
83 	 0.578303 	 1.256637 	 2.513274
84 	 0.619642 	 1.884956 	 2.513274
85 	 0.486691 	 2.513274 	 2.513274
86 	 0.504994 	 3.141593 	 2.513274
87 	 0.578046 	 3.769911 	 2.513274
88 	 0.664304 	 4.398230 	 2.513274
89 	 0.690940 	 5.026548 	 2.513274
90 	 0.590498 	 5.654867 	 2.513274
91 	 1.113545 	 0.000000 	 2.827433
92 	 0.932043 	 0.628319 	 2.827433
93 	 0.696358 	 1.256637 	 2.827433
94 	 0.701338 	 1.884956 	 2.827433
95 	 0.547751 	 2.513274 	 2.827433
96 	 0.616010 	 3.141593 	 2.827433
97 	 0.733104 	 3.769911 	 2.827433
98 	 0.638793 	 4.398230 	 2.827433
99 	 0.722575 	 5.026548 	 2.827433
100 	 1.037628 	 5.654867 	 2.827433
