detSpacingX=0.25;detSpacingY=0.25;
det_row_count= ceil(sqrt(sum(dim.^2)))+150; 
det_col_count=ceil(sqrt(sum(dim.^2)))+150;

img_no 	 max_int_value 	 angleY 	 angleZ 
1 	 0.853669 	 0.000000 	 0.000000
2 	 0.855334 	 0.628319 	 0.000000
3 	 0.856186 	 1.256637 	 0.000000
4 	 0.859753 	 1.884956 	 0.000000
5 	 0.853992 	 2.513274 	 0.000000
6 	 0.853669 	 3.141593 	 0.000000
7 	 0.855334 	 3.769911 	 0.000000
8 	 0.856186 	 4.398230 	 0.000000
9 	 0.859753 	 5.026548 	 0.000000
10 	 0.853992 	 5.654867 	 0.000000
11 	 0.617903 	 0.000000 	 0.314159
12 	 0.734792 	 0.628319 	 0.314159
13 	 0.640063 	 1.256637 	 0.314159
14 	 0.723114 	 1.884956 	 0.314159
15 	 1.039058 	 2.513274 	 0.314159
16 	 1.113708 	 3.141593 	 0.314159
17 	 0.933955 	 3.769911 	 0.314159
18 	 0.698583 	 4.398230 	 0.314159
19 	 0.702187 	 5.026548 	 0.314159
20 	 0.547894 	 5.654867 	 0.314159
21 	 0.505812 	 0.000000 	 0.628319
22 	 0.578456 	 0.628319 	 0.628319
23 	 0.664557 	 1.256637 	 0.628319
24 	 0.694533 	 1.884956 	 0.628319
25 	 0.590626 	 2.513274 	 0.628319
26 	 0.766680 	 3.141593 	 0.628319
27 	 0.555044 	 3.769911 	 0.628319
28 	 0.580227 	 4.398230 	 0.628319
29 	 0.621297 	 5.026548 	 0.628319
30 	 0.488188 	 5.654867 	 0.628319
31 	 0.498033 	 0.000000 	 0.942478
32 	 0.571755 	 0.628319 	 0.942478
33 	 0.740056 	 1.256637 	 0.942478
34 	 0.610843 	 1.884956 	 0.942478
35 	 0.636266 	 2.513274 	 0.942478
36 	 0.836410 	 3.141593 	 0.942478
37 	 0.546085 	 3.769911 	 0.942478
38 	 0.542402 	 4.398230 	 0.942478
39 	 0.605027 	 5.026548 	 0.942478
40 	 0.499546 	 5.654867 	 0.942478
41 	 0.456732 	 0.000000 	 1.256637
42 	 0.522458 	 0.628319 	 1.256637
43 	 0.617215 	 1.256637 	 1.256637
44 	 0.595863 	 1.884956 	 1.256637
45 	 0.461008 	 2.513274 	 1.256637
46 	 0.635007 	 3.141593 	 1.256637
47 	 0.473180 	 3.769911 	 1.256637
48 	 0.525306 	 4.398230 	 1.256637
49 	 0.509042 	 5.026548 	 1.256637
50 	 0.450461 	 5.654867 	 1.256637
51 	 0.420295 	 0.000000 	 1.570796
52 	 0.437242 	 0.628319 	 1.570796
53 	 0.464788 	 1.256637 	 1.570796
54 	 0.508970 	 1.884956 	 1.570796
55 	 0.450081 	 2.513274 	 1.570796
56 	 0.420295 	 3.141593 	 1.570796
57 	 0.437242 	 3.769911 	 1.570796
58 	 0.464788 	 4.398230 	 1.570796
59 	 0.508970 	 5.026548 	 1.570796
60 	 0.450081 	 5.654867 	 1.570796
61 	 0.635007 	 0.000000 	 1.884956
62 	 0.473180 	 0.628319 	 1.884956
63 	 0.525306 	 1.256637 	 1.884956
64 	 0.509042 	 1.884956 	 1.884956
65 	 0.450461 	 2.513274 	 1.884956
66 	 0.456732 	 3.141593 	 1.884956
67 	 0.522458 	 3.769911 	 1.884956
68 	 0.617215 	 4.398230 	 1.884956
69 	 0.595863 	 5.026548 	 1.884956
70 	 0.461008 	 5.654867 	 1.884956
71 	 0.836410 	 0.000000 	 2.199115
72 	 0.546085 	 0.628319 	 2.199115
73 	 0.542402 	 1.256637 	 2.199115
74 	 0.605027 	 1.884956 	 2.199115
75 	 0.499546 	 2.513274 	 2.199115
76 	 0.498033 	 3.141593 	 2.199115
77 	 0.571755 	 3.769911 	 2.199115
78 	 0.740056 	 4.398230 	 2.199115
79 	 0.610843 	 5.026548 	 2.199115
80 	 0.636266 	 5.654867 	 2.199115
81 	 0.766680 	 0.000000 	 2.513274
82 	 0.555044 	 0.628319 	 2.513274
83 	 0.580227 	 1.256637 	 2.513274
84 	 0.621297 	 1.884956 	 2.513274
85 	 0.488188 	 2.513274 	 2.513274
86 	 0.505812 	 3.141593 	 2.513274
87 	 0.578456 	 3.769911 	 2.513274
88 	 0.664557 	 4.398230 	 2.513274
89 	 0.694533 	 5.026548 	 2.513274
90 	 0.590626 	 5.654867 	 2.513274
91 	 1.113708 	 0.000000 	 2.827433
92 	 0.933955 	 0.628319 	 2.827433
93 	 0.698583 	 1.256637 	 2.827433
94 	 0.702187 	 1.884956 	 2.827433
95 	 0.547894 	 2.513274 	 2.827433
96 	 0.617903 	 3.141593 	 2.827433
97 	 0.734792 	 3.769911 	 2.827433
98 	 0.640063 	 4.398230 	 2.827433
99 	 0.723114 	 5.026548 	 2.827433
100 	 1.039058 	 5.654867 	 2.827433
