img_no 	 max_int_value 	 angleY 	 angleZ 
1 	 123.553497 	 0.000000 	 1.000000
2 	 136.011429 	 0.628319 	 1.000000
3 	 139.290527 	 1.256637 	 1.000000
4 	 155.935684 	 1.884956 	 1.000000
5 	 140.991333 	 2.513274 	 1.000000
6 	 144.310562 	 3.141593 	 1.000000
7 	 138.270370 	 3.769911 	 1.000000
8 	 124.653015 	 4.398230 	 1.000000
9 	 146.430252 	 5.026548 	 1.000000
10 	 137.202118 	 5.654867 	 1.000000
11 	 126.365967 	 0.000000 	 1.214159
12 	 132.057907 	 0.628319 	 1.214159
13 	 131.582748 	 1.256637 	 1.214159
14 	 146.781952 	 1.884956 	 1.214159
15 	 120.932297 	 2.513274 	 1.214159
16 	 151.374802 	 3.141593 	 1.214159
17 	 135.962128 	 3.769911 	 1.214159
18 	 122.495010 	 4.398230 	 1.214159
19 	 126.170296 	 5.026548 	 1.214159
20 	 126.577652 	 5.654867 	 1.214159
21 	 126.265915 	 0.000000 	 1.428319
22 	 138.079605 	 0.628319 	 1.428319
23 	 128.763260 	 1.256637 	 1.428319
24 	 116.635147 	 1.884956 	 1.428319
25 	 127.990318 	 2.513274 	 1.428319
26 	 152.084549 	 3.141593 	 1.428319
27 	 127.839935 	 3.769911 	 1.428319
28 	 126.966988 	 4.398230 	 1.428319
29 	 119.925385 	 5.026548 	 1.428319
30 	 116.900467 	 5.654867 	 1.428319
31 	 134.513641 	 0.000000 	 1.642478
32 	 129.677643 	 0.628319 	 1.642478
33 	 123.123909 	 1.256637 	 1.642478
34 	 117.539070 	 1.884956 	 1.642478
35 	 116.307785 	 2.513274 	 1.642478
36 	 126.437393 	 3.141593 	 1.642478
37 	 134.485977 	 3.769911 	 1.642478
38 	 118.477478 	 4.398230 	 1.642478
39 	 114.748367 	 5.026548 	 1.642478
40 	 128.204956 	 5.654867 	 1.642478
41 	 141.024780 	 0.000000 	 1.856637
42 	 132.425110 	 0.628319 	 1.856637
43 	 120.075623 	 1.256637 	 1.856637
44 	 114.949852 	 1.884956 	 1.856637
45 	 126.749107 	 2.513274 	 1.856637
46 	 133.933899 	 3.141593 	 1.856637
47 	 139.633942 	 3.769911 	 1.856637
48 	 135.953369 	 4.398230 	 1.856637
49 	 144.861725 	 5.026548 	 1.856637
50 	 122.854073 	 5.654867 	 1.856637
51 	 137.612076 	 0.000000 	 2.070796
52 	 138.547256 	 0.628319 	 2.070796
53 	 124.122307 	 1.256637 	 2.070796
54 	 128.122482 	 1.884956 	 2.070796
55 	 137.470215 	 2.513274 	 2.070796
56 	 132.341797 	 3.141593 	 2.070796
57 	 129.724625 	 3.769911 	 2.070796
58 	 132.112793 	 4.398230 	 2.070796
59 	 150.356720 	 5.026548 	 2.070796
60 	 143.039215 	 5.654867 	 2.070796
61 	 139.655212 	 0.000000 	 2.284956
62 	 139.808594 	 0.628319 	 2.284956
63 	 126.096680 	 1.256637 	 2.284956
64 	 135.304733 	 1.884956 	 2.284956
65 	 140.507187 	 2.513274 	 2.284956
66 	 136.550919 	 3.141593 	 2.284956
67 	 152.217651 	 3.769911 	 2.284956
68 	 138.033249 	 4.398230 	 2.284956
69 	 159.824539 	 5.026548 	 2.284956
70 	 146.008102 	 5.654867 	 2.284956
71 	 141.201111 	 0.000000 	 2.499115
72 	 141.982971 	 0.628319 	 2.499115
73 	 137.991943 	 1.256637 	 2.499115
74 	 134.719955 	 1.884956 	 2.499115
75 	 147.549393 	 2.513274 	 2.499115
76 	 152.817810 	 3.141593 	 2.499115
77 	 155.608704 	 3.769911 	 2.499115
78 	 140.620682 	 4.398230 	 2.499115
79 	 150.481613 	 5.026548 	 2.499115
80 	 138.595703 	 5.654867 	 2.499115
81 	 138.769775 	 0.000000 	 2.713274
82 	 143.912704 	 0.628319 	 2.713274
83 	 149.515610 	 1.256637 	 2.713274
84 	 144.809875 	 1.884956 	 2.713274
85 	 142.714462 	 2.513274 	 2.713274
86 	 150.289612 	 3.141593 	 2.713274
87 	 171.629501 	 3.769911 	 2.713274
88 	 160.137817 	 4.398230 	 2.713274
89 	 140.703568 	 5.026548 	 2.713274
90 	 136.237076 	 5.654867 	 2.713274
91 	 135.728363 	 0.000000 	 2.927433
92 	 146.750702 	 0.628319 	 2.927433
93 	 135.301010 	 1.256637 	 2.927433
94 	 150.228546 	 1.884956 	 2.927433
95 	 142.999786 	 2.513274 	 2.927433
96 	 152.932800 	 3.141593 	 2.927433
97 	 150.924500 	 3.769911 	 2.927433
98 	 149.368454 	 4.398230 	 2.927433
99 	 151.136948 	 5.026548 	 2.927433
100 	 144.718582 	 5.654867 	 2.927433
