img_no 	 max_int_value 	 angle 	 angle axis 
1 	 127.764328 	 0.000000 	 Y
2 	 126.588417 	 0.006283 	 Y
3 	 126.572319 	 0.012566 	 Y
4 	 125.387383 	 0.018850 	 Y
5 	 125.130592 	 0.025133 	 Y
6 	 125.573456 	 0.031416 	 Y
7 	 126.167450 	 0.037699 	 Y
8 	 126.635231 	 0.043982 	 Y
9 	 127.492966 	 0.050265 	 Y
10 	 129.043030 	 0.056549 	 Y
11 	 130.509872 	 0.062832 	 Y
12 	 131.802963 	 0.069115 	 Y
13 	 132.707993 	 0.075398 	 Y
14 	 133.232376 	 0.081681 	 Y
15 	 133.262939 	 0.087965 	 Y
16 	 133.927002 	 0.094248 	 Y
17 	 134.801758 	 0.100531 	 Y
18 	 135.385254 	 0.106814 	 Y
19 	 135.510513 	 0.113097 	 Y
20 	 135.108780 	 0.119381 	 Y
21 	 134.266861 	 0.125664 	 Y
22 	 133.291092 	 0.131947 	 Y
23 	 132.010757 	 0.138230 	 Y
24 	 130.766113 	 0.144513 	 Y
25 	 129.811523 	 0.150796 	 Y
26 	 129.031204 	 0.157080 	 Y
27 	 130.984970 	 0.163363 	 Y
28 	 132.592148 	 0.169646 	 Y
29 	 134.182526 	 0.175929 	 Y
30 	 135.681198 	 0.182212 	 Y
31 	 137.170181 	 0.188496 	 Y
32 	 138.504456 	 0.194779 	 Y
33 	 139.857727 	 0.201062 	 Y
34 	 141.442535 	 0.207345 	 Y
35 	 143.002136 	 0.213628 	 Y
36 	 144.404709 	 0.219911 	 Y
37 	 145.680817 	 0.226195 	 Y
38 	 146.777496 	 0.232478 	 Y
39 	 147.451233 	 0.238761 	 Y
40 	 148.138702 	 0.245044 	 Y
41 	 148.772537 	 0.251327 	 Y
42 	 148.994934 	 0.257611 	 Y
43 	 148.763474 	 0.263894 	 Y
44 	 148.191025 	 0.270177 	 Y
45 	 147.383743 	 0.276460 	 Y
46 	 146.418594 	 0.282743 	 Y
47 	 145.223907 	 0.289027 	 Y
48 	 143.452698 	 0.295310 	 Y
49 	 141.958099 	 0.301593 	 Y
50 	 142.877991 	 0.307876 	 Y
51 	 144.171051 	 0.314159 	 Y
52 	 145.039581 	 0.320442 	 Y
53 	 145.452454 	 0.326726 	 Y
54 	 145.316574 	 0.333009 	 Y
55 	 144.809952 	 0.339292 	 Y
56 	 143.816559 	 0.345575 	 Y
57 	 142.459000 	 0.351858 	 Y
58 	 140.765869 	 0.358142 	 Y
59 	 139.485947 	 0.364425 	 Y
60 	 137.920135 	 0.370708 	 Y
61 	 136.409637 	 0.376991 	 Y
62 	 136.200974 	 0.383274 	 Y
63 	 137.264313 	 0.389557 	 Y
64 	 138.354446 	 0.395841 	 Y
65 	 138.911758 	 0.402124 	 Y
66 	 139.743301 	 0.408407 	 Y
67 	 140.510651 	 0.414690 	 Y
68 	 140.948898 	 0.420973 	 Y
69 	 141.184784 	 0.427257 	 Y
70 	 141.125854 	 0.433540 	 Y
71 	 140.877609 	 0.439823 	 Y
72 	 140.422745 	 0.446106 	 Y
73 	 140.110001 	 0.452389 	 Y
74 	 139.544647 	 0.458673 	 Y
75 	 139.784592 	 0.464956 	 Y
76 	 139.900665 	 0.471239 	 Y
77 	 139.724274 	 0.477522 	 Y
78 	 139.286591 	 0.483805 	 Y
79 	 138.728271 	 0.490088 	 Y
80 	 137.888458 	 0.496372 	 Y
81 	 136.640152 	 0.502655 	 Y
82 	 135.162140 	 0.508938 	 Y
83 	 133.888046 	 0.515221 	 Y
84 	 132.942093 	 0.521504 	 Y
85 	 132.077408 	 0.527788 	 Y
86 	 131.397552 	 0.534071 	 Y
87 	 130.512222 	 0.540354 	 Y
88 	 129.371780 	 0.546637 	 Y
89 	 127.883522 	 0.552920 	 Y
90 	 126.065987 	 0.559203 	 Y
91 	 125.391182 	 0.565487 	 Y
92 	 124.892456 	 0.571770 	 Y
93 	 124.839127 	 0.578053 	 Y
94 	 124.639793 	 0.584336 	 Y
95 	 123.701035 	 0.590619 	 Y
96 	 123.781364 	 0.596903 	 Y
97 	 123.397835 	 0.603186 	 Y
98 	 122.885406 	 0.609469 	 Y
99 	 122.862816 	 0.615752 	 Y
100 	 122.876923 	 0.622035 	 Y
101 	 122.858528 	 0.628319 	 Y
102 	 122.675102 	 0.634602 	 Y
103 	 122.292862 	 0.640885 	 Y
104 	 121.607323 	 0.647168 	 Y
105 	 121.308853 	 0.653451 	 Y
106 	 121.113907 	 0.659734 	 Y
107 	 121.634651 	 0.666018 	 Y
108 	 122.712105 	 0.672301 	 Y
109 	 123.751244 	 0.678584 	 Y
110 	 124.921021 	 0.684867 	 Y
111 	 125.886215 	 0.691150 	 Y
112 	 126.639526 	 0.697434 	 Y
113 	 126.953514 	 0.703717 	 Y
114 	 126.465416 	 0.710000 	 Y
115 	 127.162186 	 0.716283 	 Y
116 	 128.328476 	 0.722566 	 Y
117 	 129.011322 	 0.728849 	 Y
118 	 129.312637 	 0.735133 	 Y
119 	 129.272842 	 0.741416 	 Y
120 	 128.765869 	 0.747699 	 Y
121 	 126.837059 	 0.753982 	 Y
122 	 125.022659 	 0.760265 	 Y
123 	 123.872154 	 0.766549 	 Y
124 	 124.173447 	 0.772832 	 Y
125 	 124.016090 	 0.779115 	 Y
126 	 125.120178 	 0.785398 	 Y
127 	 126.416664 	 0.791681 	 Y
128 	 127.010719 	 0.797965 	 Y
129 	 128.504013 	 0.804248 	 Y
130 	 128.620453 	 0.810531 	 Y
131 	 128.562149 	 0.816814 	 Y
132 	 127.534500 	 0.823097 	 Y
133 	 126.497581 	 0.829380 	 Y
134 	 125.417007 	 0.835664 	 Y
135 	 124.447739 	 0.841947 	 Y
136 	 123.931786 	 0.848230 	 Y
137 	 123.592773 	 0.854513 	 Y
138 	 122.892609 	 0.860796 	 Y
139 	 121.822929 	 0.867080 	 Y
140 	 121.742783 	 0.873363 	 Y
141 	 121.330368 	 0.879646 	 Y
142 	 121.480759 	 0.885929 	 Y
143 	 122.268578 	 0.892212 	 Y
144 	 123.306084 	 0.898495 	 Y
145 	 125.288292 	 0.904779 	 Y
146 	 126.548370 	 0.911062 	 Y
147 	 127.986221 	 0.917345 	 Y
148 	 129.721436 	 0.923628 	 Y
149 	 130.729095 	 0.929911 	 Y
150 	 130.886459 	 0.936195 	 Y
151 	 130.423492 	 0.942478 	 Y
152 	 129.288193 	 0.948761 	 Y
153 	 127.505959 	 0.955044 	 Y
154 	 126.248680 	 0.961327 	 Y
155 	 125.272598 	 0.967611 	 Y
156 	 123.994682 	 0.973894 	 Y
157 	 122.110146 	 0.980177 	 Y
158 	 121.324760 	 0.986460 	 Y
159 	 121.145020 	 0.992743 	 Y
160 	 120.184067 	 0.999026 	 Y
161 	 118.517433 	 1.005310 	 Y
162 	 116.512276 	 1.011593 	 Y
163 	 116.849068 	 1.017876 	 Y
164 	 116.862633 	 1.024159 	 Y
